Contact_id,segment
50051,Upside+
1934851,Upside+
1935651,Upside+
1936901,Upside+
1980851,Upside+
2005851,Upside+
2007201,Upside+
2021351,Upside+
2068651,Upside+
2076551,Upside+
2082651,Upside+
2085201,Upside+
2097601,Upside+
2122051,Upside+
2180901,Upside+
2189551,Upside+
2195001,Upside+
2218801,Upside+
2241801,Upside+
2248501,Upside+
2257351,Upside+
2271651,Upside+
2279851,Upside+
2285551,Upside+
2288851,Upside+
2296251,Upside+
2298501,Upside+
2298751,Upside+
2305651,Upside+
2309051,Upside+
2321651,Upside+
2327251,Upside+
2327851,Upside+
2347951,Upside+
2366001,Upside+
2419301,Upside+
2422301,Upside+
2428251,Upside+
2443151,Upside+
2474501,Upside+
2484101,Upside+
2511101,Upside+
2519001,Upside+
2519951,Upside+
2534801,Upside+
2548301,Upside+
2559651,Upside+
2593401,Upside+
2627551,Upside+
2659651,Upside+
2682651,Upside+
2688451,Upside+
2692551,Upside+
2693751,Upside+
2697501,Upside+
2709851,Upside+
2716451,Upside+
2728851,Upside+
2756001,Upside+
2765051,Upside+
2783451,Upside+
2784351,Upside+
2794351,Upside+
2795101,Upside+
2810801,Upside+
2813451,Upside+
2816851,Upside+
2818101,Upside+
2818251,Upside+
2818551,Upside+
2818751,Upside+
2819301,Upside+
2823351,Upside+
2823501,Upside+
2826801,Upside+
2830851,Upside+
2832501,Upside+
2838201,Upside+
2842701,Upside+
2847651,Upside+
2847801,Upside+
2860201,Upside+
2861451,Upside+
2862751,Upside+
2866001,Upside+
2866901,Upside+
2875251,Upside+
2876401,Upside+
2877201,Upside+
2884101,Upside+
2885851,Upside+
2888001,Upside+
2894351,Upside+
2894751,Upside+
2906801,Upside+
2908251,Upside+
2915101,Upside+
2915251,Upside+
2919401,Upside+
2919451,Upside+
2927501,Upside+
2939051,Upside+
2939201,Upside+
2940051,Upside+
2940901,Upside+
2975051,Upside+
2988901,Upside+
2989001,Upside+
2989051,Upside+
2989101,Upside+
3001701,Upside+
3001751,Upside+
3005851,Upside+
3014951,Upside+
3026701,Upside+
3027351,Upside+
3032301,Upside+
3034301,Upside+
3035001,Upside+
3041701,Upside+
3046301,Upside+
3050001,Upside+
3056151,Upside+
3056751,Upside+
3059201,Upside+
3061901,Upside+
3065001,Upside+
3066301,Upside+
3077851,Upside+
3078301,Upside+
3082801,Upside+
3104051,Upside+
3116451,Upside+
3122851,Upside+
3149451,Upside+
3157201,Upside+
3161401,Upside+
3173501,Upside+
3183351,Upside+
3199101,Upside+
3199601,Upside+
3199901,Upside+
3202951,Upside+
3203601,Upside+
3265851,Upside+
3272801,Upside+
3277001,Upside+
3291501,Upside+
3293351,Upside+
3301701,Upside+
3303501,Upside+
3308001,Upside+
3318801,Upside+
3321501,Upside+
3324351,Upside+
3324451,Upside+
3330451,Upside+
3331651,Upside+
3336651,Upside+
3341601,Upside+
